runs_so_far,wickets_fallen,balls_bowled,balls_remaining,overs_completed,current_run_rate,required_run_rate,runs_to_target,target,striker_runs,striker_balls,striker_strike_rate,striker_fours,striker_sixes,bowler_economy,bowler_wickets,bowler_dots,innings_number,over_limit,final_score,match_id,batting_team_id
13,0,6,114,1,13.0,0.0,0,0,26,16,162.5,2,1,6.25,1,11,1,20,191,1,2
14,0,7,113,1,12.0,0.0,0,0,12,6,200.0,1,1,6.25,1,11,1,20,191,1,2
15,1,8,112,1,11.25,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
15,1,9,111,1,10.0,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
16,1,10,110,1,9.6,0.0,0,0,26,16,162.5,2,1,6.25,1,11,1,20,191,1,2
16,1,11,109,1,8.73,0.0,0,0,26,16,162.5,2,1,6.25,1,11,1,20,191,1,2
16,1,12,108,2,8.0,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
19,1,13,107,2,8.77,0.0,0,0,26,16,162.5,2,1,16.0,0,1,1,20,191,1,2
19,1,14,106,2,8.14,0.0,0,0,26,16,162.5,2,1,16.0,0,1,1,20,191,1,2
21,1,15,105,2,8.4,0.0,0,0,26,16,162.5,2,1,16.0,0,1,1,20,191,1,2
22,1,16,104,2,8.25,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
23,1,17,103,2,8.12,0.0,0,0,26,16,162.5,2,1,16.0,0,1,1,20,191,1,2
28,1,17,103,2,9.88,0.0,0,0,26,16,162.5,2,1,16.0,0,1,1,20,191,1,2
29,1,18,102,3,9.67,0.0,0,0,26,16,162.5,2,1,9.67,2,7,1,20,191,1,2
29,1,19,101,3,9.16,0.0,0,0,26,16,162.5,2,1,9.67,2,7,1,20,191,1,2
30,1,20,100,3,9.0,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
32,1,21,99,3,9.14,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
36,1,22,98,3,9.82,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
40,1,23,97,3,10.43,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
40,1,24,96,4,10.0,0.0,0,0,26,16,162.5,2,1,12.0,1,6,1,20,191,1,2
46,1,25,95,4,11.04,0.0,0,0,26,16,162.5,2,1,12.0,1,6,1,20,191,1,2
48,1,26,94,4,11.08,0.0,0,0,26,16,162.5,2,1,12.0,1,6,1,20,191,1,2
52,1,27,93,4,11.56,0.0,0,0,26,16,162.5,2,1,12.0,1,6,1,20,191,1,2
54,1,28,92,4,11.57,0.0,0,0,26,16,162.5,2,1,12.0,1,6,1,20,191,1,2
55,1,29,91,4,11.38,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
59,1,30,90,5,11.8,0.0,0,0,26,16,162.5,2,1,9.67,2,7,1,20,191,1,2
59,2,31,89,5,11.42,0.0,0,0,36,21,171.43,0,3,9.67,2,7,1,20,191,1,2
